12215,232101,87600
10157,251717,88200
10356,262010,87800
12196,252273,89800
10316,270197,90100
10312,244349,89400
10325,269189,92200
10558,256083,91600
12413,250566,91300
11388,244868,93500
11002,226911,93100
12147,228148,92800
9409,187533,82200
8363,196470,83200
8310,221109,83100
11829,256897,85100
11598,277889,85000
11546,275438,84400
11475,240750,87200
11549,251188,86900
12889,229544,86500
11621,213212,88300
11549,215424,88600
12261,219882,88300
7990,98203,74000
7653,103224,76500
7406,132690,74600
8288,152298,80600
7482,156007,79000
7441,172205,80000
7531,166302,83100
7454,166939,82600
8727,165765,82100
7763,170995,85300
7514,169159,84600
7698,179133,84500
8100,41946,73500
7400,45758,73200
7400,61853,73800
8200,94241,74000
7400,114121,74400
7400,135677,73800
7400,136098,74600
7400,121550,73600
8300,122219,73800
7400,105532,74000
7400,95595,73500
7447,96972,73600
9000,20857,75000
9000,24651,83300
9000,23589,90800
11000,26174,83900
9000,22224,80700
9000,21482,77600
9000,21811,76300
9000,22650,74700
9000,35154,73400
10000,28887,82300
8500,38220,75500
8500,39625,76000
8000,24354,52800
8000,23391,55400
8000,24897,58300
8500,22706,61000
9300,24230,64000
9500,24774,55800
9500,26526,57700
9500,21425,62100
9500,19114,65700
9500,19921,65200
9500,19120,66400
9500,18244,68900
7500,25104,44200
8000,25014,46200
8000,22326,46300
9000,25708,47400
9000,22474,48500
9000,21852,50900
9000,21544,51000
9500,22268,52200
9000,19415,53800
9000,20050,45700
8500,26531,51000
8000,18975,37800
7500,18810,38300
8000,17704,39600
8500,17313,41000
8500,16324,41900
9000,16252,39200
9000,13389,38400
9000,16855,39800
9500,15198,41800
9000,14941,43000
9000,13429,44900
8500,11224,10400
5200,16544,28600
5200,16848,33000
6000,18575,26600
6500,17654,28300
7200,16471,28500
8000,17433,30000
8000,17220,32100
8000,18750,39800
8500,14906,27200
8000,22006,33900
8000,21902,34900
8000,18577,36900
9300,63534,31300
9000,37072,37300
8200,26341,34400
7700,21208,33900
6800,16783,33800
6000,13451,35900
6500,11002,29300
5000,11882,32600
5500,10170,21800
4500,16804,31000
6000,6587,38500
3500,5056,39100
4000,10168,41100
5500,10523,43300
6000,10273,44500
6000,11478,47200
5500,10327,45200
8000,12943,46500
8500,10561,46800
7500,10715,50500
7500,10596,53800
7500,10356,50000
5000,5907,26900
3800,12367,34200
4500,8904,38500
5000,7888,37500
4500,8301,37700
4500,8478,39500
5500,8966,39600
6200,9190,39900
6500,7064,37000
6500,11237,36300
6000,110234,37800
6500,9477,39200
5500,6208,28500
3800,8949,31700
4000,9117,34300
5000,8113,36800
5833,9673,35000
5690,8409,37000
6326,8777,37900
6829,7520,25000
6700,10972,26500
6000,11167,25200
5700,13633,29800
5700,8351,35200
5000,8663,38000
4800,10156,39600
4800,9950,43000
5500,8105,44200
6233,19233,17800
6600,14464,21800
6800,15506,25100
6640,10634,29300
6600,9519,28000
6600,9188,26000
5500,9005,29300
3000,9442,18800
3000,12030,23800
3000,11219,28800
3300,8794,34100
3800,14634,35000
5500,15507,36100
6000,11929,36900
4500,9315,38500
6650,8532,28800
4500,9383,32800
5042,9849,33100
4776,10491,37100
1400,3718,13600
1800,4590,13100
2000,5190,14300
2300,4806,16000
2350,4665,17800
2800,4502,19600
3000,3774,19800
3000,4640,21000
3200,4393,23600
3200,4661,26400
3200,4021,30800
3600,3525,27800
